0,364,411,382,646,650,650,641,640,648,641,641,647,627,640,631
364,0,375,356,653,654,654,646,657,649,661,657,648,646,648,649
411,375,0,340,660,660,660,663,657,651,657,658,647,639,653,651
382,356,340,0,651,651,651,648,647,632,650,651,639,602,641,635
646,653,660,651,0,106,127,92,320,331,331,309,420,428,416,424
650,654,660,651,106,0,118,107,329,338,327,329,421,429,422,424
650,654,660,651,127,118,0,132,332,340,340,329,421,429,422,424
641,646,663,648,92,107,132,0,310,321,325,317,416,424,413,420
640,657,657,647,320,329,332,310,0,159,189,154,392,417,401,402
648,649,651,632,331,338,340,321,159,0,199,190,387,397,389,396
641,661,657,650,331,327,340,325,189,199,0,169,418,426,422,420
641,657,658,651,309,329,329,317,154,190,169,0,406,421,406,424
647,648,647,639,420,421,421,416,392,387,418,406,0,283,244,205
627,646,639,602,428,429,429,424,417,397,426,421,283,0,248,275
640,648,653,641,416,422,422,413,401,389,422,406,244,248,0,224
631,649,651,635,424,424,424,420,402,396,420,424,205,275,224,0
